"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
2413.1277515121,0.899234986400183,0.0423003901633097,21.2583142360743,2.76159137465069e-100,2.36550026891508e-97,"PIP4K2B"
26295.5359074026,1.32371261780753,0.0642605568764742,20.5991463838705,2.79323080510931e-94,2.28384707828665e-91,"RPL19"
2571.87258464251,1.04975307224494,0.0537273024688789,19.5385404441811,5.16377918651468e-85,4.03852434813157e-82,"PSMB3"
3573.09810302228,0.740472990738246,0.0382571530179284,19.3551514507951,1.84451642091725e-83,1.38246505747748e-80,"SMARCE1"
9256.47402449738,0.98691915616682,0.051635722863506,19.1131081630375,1.96414307055773e-81,1.41324022212769e-78,"LASP1"
165.000595663708,3.30959033806867,0.179623725525531,18.4251291325001,8.25933637166991e-76,5.71419010206148e-73,"PNMT"
1494.10006962099,0.753878937369588,0.0419314212667957,17.9788548681168,2.85324717862868e-72,1.90089667589529e-69,"PSMD11"
83.6599468562358,1.28868743387915,0.0732411815375466,17.5951207616513,2.68482809643688e-69,1.72481027852524e-66,"RPL19P12"
647.538831339565,0.657428842934304,0.038203287801363,17.20869801449,2.28511741265684e-66,1.41740317306453e-63,"DDX52"
1293.12564963062,0.967001619891385,0.0572368201836316,16.8947474158938,4.91815479426246e-64,2.94892561463977e-61,"PCGF2"
3473.84399003637,0.666792649234428,0.0403042920247383,16.5439613435006,1.76991031607907e-61,1.02700473437517e-58,"UBE2Z"
3534.06274345668,1.26359803076507,0.0773615810765433,16.3336634694014,5.68647782112304e-60,3.19651134519879e-57,"TOP2A"
1176.18265029556,0.982361100321488,0.0613464580506678,16.0133303785873,1.03138243918777e-57,5.6219719139726e-55,"CISD3"
3456.25158198128,2.50463600775948,0.159797831491419,15.6737797026612,2.2857278667564e-55,1.20928449609453e-52,"PPP1R1B"
1161.08260401453,0.745342144861099,0.0475737154029633,15.6670997534633,2.53903764685615e-55,1.30492026261853e-52,"SLC35B1"
108.461049763465,1.13078958070253,0.0727070647696929,15.5526781927509,1.52589180644046e-54,7.62437272618082e-52,"EME1"
471.240004095134,1.45859594412448,0.0963555463224271,15.1376438595833,9.14311091971224e-52,4.44503457361578e-49,"RAPGEFL1"
4714.98160302584,0.767370822604382,0.0510279924937214,15.0382326464989,4.12414199791923e-51,1.95223858575187e-48,"LRRC59"
1279.20144999712,0.575818397203704,0.0383822329105752,15.0022120533027,7.10126299198583e-51,3.27532099230362e-48,"ERAL1"
3217.32244132438,0.630726772467003,0.042055154354064,14.9976092622771,7.61118057262832e-51,3.42274790351095e-48,"NUFIP2"
1357.94626914495,0.565971630623359,0.0377495210953434,14.9928161788832,8.18095145273072e-51,3.58924279833464e-48,"AATF"
986.695206265971,0.683683974604411,0.0456616281116902,14.9728339281309,1.10510017176404e-50,4.73298616421226e-48,"UTP18"
7.23234476312632,2.13934490764632,0.143881841736828,14.8687623248482,5.2576335631395e-50,2.19940261706403e-47,"TEX19"
13276.3345288694,0.856692480917932,0.0579250166932902,14.7896803457835,1.70762844980724e-49,6.98109558071197e-47,"RPL23"
767.998289922609,0.818914415252595,0.0553911730734772,14.7842042299103,1.85233604203951e-49,7.40440460537926e-47,"THRA"
1475.21367674883,0.67292472612426,0.0456692578287681,14.7347418836391,3.85668065988939e-49,1.48176409975501e-46,"MYST2"
1097.64144947562,0.728407135421053,0.0494355492320663,14.7344804849174,3.87163179277772e-49,1.48176409975501e-46,"SNF8"
594.960338317117,0.477718175714305,0.0326113152000553,14.6488472722957,1.37020623524992e-48,5.13484786659906e-46,"CCDC43"
260.608243523045,0.605268461703353,0.0414686515163623,14.5958076660518,2.98654708874244e-48,1.09636753127141e-45,"PIGW"
2687.00699820128,0.9238794065425,0.0638908762685185,14.4602713329467,2.15944876210714e-47,7.63500477525316e-45,"RARA"
578.812144503435,0.536294460238816,0.0370878693388752,14.4601043359662,2.16469448264349e-47,7.63500477525316e-45,"TMEM199"
268.508111372529,0.999565992365318,0.0693951020972257,14.4039847504638,4.88442545538662e-47,1.68963548252874e-44,"TLCD1"
1953.51087499924,0.410908421832381,0.0285557860739686,14.3896729289118,6.00793584688071e-47,2.03907075497529e-44,"PPP1R10"
3854.99745140698,0.707616316028755,0.0493095493662025,14.3504924527614,1.05783415573809e-46,3.52376310989201e-44,"MLLT6"
3240.45631357365,0.710414026101829,0.0507273133555593,14.0045663590022,1.4616918153941e-44,4.78052952278348e-42,"TMEM49"
17089.9675578095,0.784270822050362,0.0560643346233736,13.9887653589202,1.82553579689662e-44,5.86388177046006e-42,"CLTC"
34.0261027705174,1.86392099793846,0.133787206487274,13.9319823388028,4.04957711633111e-44,1.27796128365902e-41,"ABCC2"
1337.78965074271,0.456139083091687,0.0328500433831068,13.8854940851085,7.75636732641447e-44,2.40554371495765e-41,"GOSR1"
